name,name_location,link,price,price_per_sqft,area,area_type,bedroom,bathroom,description,super_builtup,built_up,carpet_area,config_bedroom,config_bathroom,balcony,additional_rooms,price_text,floor,facing,overlooking,age,address,society,furnish_type,property_id,nearby_locations,furnish_details,features,rating,rating_list,status,Unnamed: 0
kalash Residency karanjade,"1 BHK House for sale in Karanjade, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-karanjade-navi-mumbai-750-sq-ft-spid-O81764346,₹50 Lac,"₹6,666 /sqft",750 sqft,Carpet Area,1 BHK,1  Bath,This is full one bhk flat with have unique terrace for all hall kitchen and bedroom,,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Regency Anantam,"1 BHK House for sale in Dombivli East, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-regency-anantam-dombivli-east-mumbai-beyond-thane-527-sq-ft-spid-X81730448,₹49.25 Lac,"₹9,345 /sqft",527 sqft,Carpet Area,1 BHK,2  Baths,"This beautiful 1 bhk flat in dombivli east, thane outskirts is situated in regency anantam, one of the popular residential society in thane outskirts. This is a north-East-Facing property. The flat occupies a carpet area of 527 sq.Ft. That consists of 1 bedroom, 2 bathrooms and 3 balconies. This flat is situated on the 22nd floor of this 23 floors tall residential building. This 0-1 year old pr...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
DB Ozone,"1 BHK House for sale in Mira Road, Mira Bhayandar",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-db-ozone-mira-road-mira-bhayandar-585-sq-ft-spid-C81725620,₹48 Lac,"₹8,204 /sqft",585 sqft,Super Built-up Area,1 BHK,2  Baths,"This beautiful 1 bhk flat in mira road, mira bhayandar is situated in db ozone, one of the popular residential society in mira bhayandar. The flat is east-Facing. The flat occupies a super built up area of 585 sq.Ft. That consists of 1 bedroom, 2 bathrooms and 2 balconies. The residential building has 19 floors in total and the flat for sale is located on the 5th floor. An added advantage of th...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Sanjeevani Apartment,"1 BHK House for sale in Kalyan West, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sanjeevani-apartment-kalyan-west-mumbai-beyond-thane-700-sq-ft-r1-spid-J78982653,₹45 Lac,"₹8,823 /sqft",700 sqft,Super Built-up Area,1 BHK,1  Bath,"Situated in kalyan west, thane outskirts, sanjeevani apartment is a well planned society that offers a pleasant living experience to its residents. This 1 bhk flat in thane outskirts is your opportunity to be a part of this community. This residential flat is east-Facing direction. Containing 1 bedroom(s), 1 bathroom and 1 balcony, this flat is spread over a super built up area of 700 sq.Ft. Th...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Abrol Krishna Greenland Park,"1 BHK House for sale in Kasar vadavali, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-abrol-krishna-greenland-park-kasar-vadavali-mumbai-thane-415-sq-ft-spid-I81724396,₹48 Lac,"₹11,566 /sqft",415 sqft,Carpet Area,1 BHK,2  Baths,"This 1 bhk flat is located in krishna green land park, which houses some of the most spacious flats in kasar vadavali, thane. This property faces the east direction. The flat is over 415 sq.Ft. Carpet area and comes with 1 bedroom(s), 2 bathrooms . This flat lies on the 4th level of a 7 storey building. An added advantage of this 10+ years old flat is that it is available for immediate possessi...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
sairaj guriyapada,"1 BHK House for sale in Orlem, Malad West",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-orlem-mumbai-andheri-dahisar-305-sq-ft-spid-F81757978,₹47 Lac,"₹15,409 /sqft",305 sqft,Carpet Area,1 BHK,1  Bath,"Speciase space outside to door,
Well painted & storage facility
Extra area as balcony which can be add on in hall & bedroom
2 minutes away from orlem church, & orlem market
5 minutes away from mith chowky metro station
10-15 minutes away from malad station
School, colleges within 1-2 minutes walkable
Infinite mall nearer to 10 minutes walking distance",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Vinay Unique Sky,"1 BHK House for sale in Virar West, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-vinay-unique-sky-virar-west-mumbai-450-sq-ft-spid-N81755096,₹45 Lac,"₹10,000 /sqft",450 sqft,Carpet Area,1 BHK,2  Baths,1bhk ready to move semi furnished flat on 16th floor.,,,450.0,1 Bedroom,2 Bathrooms,No Balcony,,45 Lac,16th   of 17 Floors,,"Pool,Club",1 to 5 Year Old,"Vinay Unique Sky Virar West, Mumbai",Vinay Unique Sky,Semifurnished,N81755096,"['Virar Railway Station', 'Viva Mall', 'NH 48', ""MGM Academy's High School & Jr. College"", 'ICFAI University', 'Kalpataru Hospital', 'CSM International Airport', 'Cocoon Cowork, Virar', 'Golden Chariot Vasai Hotel', 'www.starholiday.in', 'Mamavanti Stadium Satpale Bhandar Ali', 'Navapur Beach']","['4 Light', '1 Modular Kitchen']","['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",4.3,"{'Environment': 4.3, 'Lifestyle': 4.2, 'Connectivity': 4.3, 'Safety': 4.3}",Ready To Move,
Ornate Kallisto,"1 BHK House for sale in Bhiwandi, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ornate-kallisto-bhiwandi-mumbai-beyond-thane-420-sq-ft-r2-spid-W73523841,₹45 Lac,"₹10,714 /sqft",420 sqft,Carpet Area,1 BHK,1  Bath,"This property is well connected to bhiwandi,kalyan and nashik.Easy accessibility to market,hospital,temple etc.",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Channel Upvan,"1 BHK House for sale in Sai Nagar, Panvel",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-channel-upvan-sai-nagar-navi-mumbai-682-sq-ft-spid-L81738792,₹49 Lac,"₹7,184 /sqft",682 sqft,Built-up Area,1 BHK,1  Bath,"Pipeline mgl gas, lift, parking available in society,vtemple in the society complex, bus route no.75 from panvel railway station to near society",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Sanghvi Tower,"1 BHK House for sale in Mira Road East, Mira Bhayandar",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sanghvi-tower-mira-road-east-mira-bhayandar-430-sq-ft-spid-Q81736932,₹50 Lac,"₹11,627 /sqft",430 sqft,Super Built-up Area,1 BHK,1  Bath,"We are the proud owners of this 1 bhk apartment available in sanghvi tower, mira road east, mira bhayandar. This it is a and the unit is located on 1st floor and has a super built-Up area of 430 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Prime Homes,"1 BHK House for sale in Karanjade, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-prime-homes-karanjade-navi-mumbai-650-sq-ft-spid-U81303729,₹48 Lac,"₹7,384 /sqft",650 sqft,Built-up Area,1 BHK,1  Bath,"This beautiful 1 bhk flat in karanjade, navi mumbai is situated in prime homes, one of the popular residential society in navi mumbai. The flat occupies a built up area of 650 sq.Ft. That consists of 1 bedroom, 1 bathroom and 3 balconies. This flat is situated on the 4th floor of this 7 floors tall residential building. An added advantage of this 5-10 years old flat is that it is available for ...",,650.0,,1 Bedroom,1 Bathroom,3 Balconies,,48 Lac,4th   of 7 Floors,,Park/Garden,5 to 10 Year Old,"Prime Homes Karanjade, Navi Mumbai",Prime Homes,Semifurnished,U81303729,"['K Mall', 'PANCHAMUKHI SRI HANUMAN MANDIR', 'Axis bank ATM', 'Manomay Hospital', 'Government Rural Hospital', 'Yash Hospital', 'Panvel Hospital', 'Max Life Hospital', 'Laxmi Eye Institute', 'Akshay Eye Clinic', 'Nikam Parmer Hospital', 'Patel Clinic', 'Paramount Medical Services Pvt Ltd', 'Pritam Hospital Raigarh', 'Likhite Orthopaedic & Paediatric Super Speciality Clinic& Nicu', 'Anand Mangal Maternity And Eye Clinic', 'Aashirwad Ent Clinic', 'Ameya Clinic', 'Ingle Eye Clinic', 'Rural Hospital', 'Sukam Hospital', 'Ghanate Hospital', 'Sulochan Eye Clinic', 'Neo Clinic', 'Purohit Clinic', 'Sudha Shankar Netralaya', 'Dr.Prabhakar Patwardhan Smruti Rugnalaya', 'Siddhi Clinic', ""Dr. Oza's Hospital"", 'Hande Hospital', 'Dandekar Clinic', 'Dr. Kale Hospital', 'Gune Hospital', 'Sahasrabudhe Hospital and I.C.C.U', 'Mhatre Accident Hospital', 'Life Line Hospital', 'Siddhivinayak Hospital', 'Dr Ghodkes Sanjay Clinic', 'Shri Swami Samarth Hospital', ""Dr. Nadkarni Children's Hospital"", 'Dhamke Hospital', 'Birmole Hospital', 'Prachin Healthcare', ""Dr. Patil's Hospital"", 'Bharat Petroleum', 'Barns Galaxy College of Old', 'Panvel suburban railway station', 'Panvel railway station', 'Panvel express railway station', 'Maha e seva kendra']","['2 Fan', '2 Light']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting']",4.3,"{'Environment': 4.3, 'Lifestyle': 4.2, 'Connectivity': 4.3, 'Safety': 4.3}",Ready To Move,
.,"1 BHK House for sale in Kharghar, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-kharghar-navi-mumbai-430-sq-ft-r3-spid-W71509116,₹45 Lac,"₹10,465 /sqft",430 sqft,Super Built-up Area,1 BHK,1  Bath,"We are the proud owners of this 1 bhk apartment available in ., kharghar, navi mumbai. This it is a and the unit is located on 6th floor and has a super built-Up area of 430 sq.Ft. . It has 1 bathroom(s). The unit is located in a co-Operative society.",,,,,,,,,,,,,,,,,[],[],[],,{},Under Construction,
Lodha Casa Bella Gold,"1 BHK House for sale in Dombivli East, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-casa-bella-gold-dombivli-east-mumbai-beyond-thane-585-sq-ft-spid-M81730850,₹45 Lac,"₹7,692 /sqft",585 sqft,Built-up Area,1 BHK,1  Bath,"A fully furnished 1 bhk apartment is available for sale in lodha casa bella gold, one of the most prominent projects for flats in palava. The flat has 8 floors, and this property is situated on the 3rd floor.",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Bella Donna CHS,"1 BHK House for sale in Medetiya Nagar, Mira Road East",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bella-donna-chs-medetiya-nagar-mira-bhayandar-350-sq-ft-spid-K81722218,₹50 Lac,"₹14,285 /sqft",350 sqft,Carpet Area,1 BHK,1  Bath,"This beautiful 1 bhk flat in medetiya nagar, mira bhayandar is situated in bella donna chs, one of the popular residential society in mira bhayandar. The floor plan additionally contains 1 bedroom(s), 1 bathroom . All in all, the flat is spread over a carpet area of 350 sq.Ft. The flat has a total of 7 floors and this property is situated on top floor. This is a ready to move project and the pr...",,,350.0,1 Bedroom,1 Bathroom,No Balcony,,50 Lac,7th   of 7 Floors,,Main Road,10+ Year Old,"Bella Donna CHS Medetiya Nagar, Mira Road East",Bella Donna CHS,,K81722218,[],[],"['Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel']",,{},Ready To Move,
shankeshwar platina,"1 BHK House for sale in Chanakya Nagar, Kalyan West",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-chanakya-nagar-mumbai-beyond-thane-550-sq-ft-spid-Q81718368,₹50 Lac,"₹9,090 /sqft",550 sqft,Carpet Area,1 BHK,1  Bath,Ready to move property apart from ac point and indian toilet has bee changed apart from this no extra work has been done. 24/7 water facility.,,,550.0,1 Bedroom,1 Bathroom,1 Balcony,,50 Lac,11st   of 14 Floors,North,"Park/Garden,Main Road",0 to 1 Year Old,"shankeshwar platina Chanakya Nagar, Kalyan West",,Unfurnished,Q81718368,"['Shree Ram Mandir', 'Kali Masjid', 'Shwaas Multispeciality Hospital', 'Tanmay Health Care', 'Aayush Hospital', 'Anand Nursing Home', 'Lotus Maternity Home and Child Surgery Center', ""Kilbil Children's Hospital"", 'Pratibha Hospital', 'The Kalyan Hospital and Iccu', 'Cauvery Uroderm Centre', 'Bhoir Hospital', 'Gurukripa Criticare Hospital Kalyan', 'Sushrut Nursing Home', 'Wellspring Clinic', 'Sai Sanjivani Criticare Hospital', 'Sai Prasad Nursing Home and Scu', 'Jagannath hospital', 'National Hospital', 'Apex Hospital', 'Katkar Hospital', 'Phadke Hospital', ""Social Service League Kalyan's Charitable Eye and General Hospital"", 'Sampada Hospital', 'Sai Shraddha Nursing Home', 'Om Hospital', ""Dr. Sundeep D. Jadhav's Nursing Home"", 'Dombivli nagari sahakari bank ltd.', 'Acharya Atre Rangmandir', ""McDonald's"", 'Regal College']",[],"['Maintenance Staff', 'Water Storage', 'Visitor Parking']",,{},Ready To Move,
Qualitas Extencia,"1 BHK House for sale in Sector 17 Ulwe, Navi Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-qualitas-extencia-sector-17-ulwe-navi-mumbai-359-sq-ft-spid-L81718330,₹50 Lac,"₹13,927 /sqft",359 sqft,Carpet Area,1 BHK,1  Bath,"Property is on hight, clean view of ulwe from balcony other building hights are short than our flat balcony, amazing wind flow to flat from balconies.
Wider road, near by market, walking distance from kharkoper railway station.",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Tirumala Estate Phase 2,"2 BHK House for sale in Kasheli, Thane",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tirumala-estate-phase-2-kasheli-thane-805-sq-ft-spid-K80361831,₹33.81 Lac,"₹4,200 /sqft",805 sqft,Carpet Area,2 BHK,2  Baths,"This beautiful 2 bhk flat in kasheli, thane is situated in tirumala estate phase 2, one of the popular residential society in thane. This is a east-Facing property. The flat occupies a carpet area of 805 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the 2nd floor of this 3 floors tall residential building. As the project is already ready to move, so you...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
